1,35
2,93
3,199
4,377
5,651
6,1045
7,1583
8,2289
9,3187
10,4301
11,5655
12,7273
13,9179
14,11397
15,13951
16,16865
17,20163
18,23869
19,28007
20,32601
21,37675
22,43253
23,49359
24,56017
25,63251
26,71085
27,79543
28,88649
29,98427
30,108901
31,120095
32,132033
33,144739
34,158237
35,172551
36,187705
37,203723
38,220629
39,238447
40,257201
41,276915
42,297613
43,319319
44,342057
45,365851
46,390725
47,416703
48,443809
49,472067
50,501501
51,532135
52,563993
53,597099
54,631477
55,667151
56,704145
57,742483
58,782189
59,823287
60,865801
61,909755
62,955173
63,1002079
64,1050497
65,1100451
66,1151965
67,1205063
68,1259769
69,1316107
70,1374101
71,1433775
72,1495153
73,1558259
74,1623117
75,1689751
76,1758185
77,1828443
78,1900549
79,1974527
80,2050401
81,2128195
82,2207933
83,2289639
84,2373337
85,2459051
86,2546805
87,2636623
88,2728529
89,2822547
90,2918701
91,3017015
92,3117513
93,3220219
94,3325157
95,3432351
96,3541825
97,3653603
98,3767709
99,3884167
100,4003001
