1,23
2,49
3,79
4,113
5,151
6,193
7,239
8,289
9,343
10,401
11,463
12,529
13,599
14,673
15,751
16,833
17,919
18,1009
19,1103
20,1201
21,1303
22,1409
23,1519
24,1633
25,1751
26,1873
27,1999
28,2129
29,2263
30,2401
31,2543
32,2689
33,2839
34,2993
35,3151
36,3313
37,3479
38,3649
39,3823
40,4001
41,4183
42,4369
43,4559
44,4753
45,4951
46,5153
47,5359
48,5569
49,5783
50,6001
51,6223
52,6449
53,6679
54,6913
55,7151
56,7393
57,7639
58,7889
59,8143
60,8401
61,8663
62,8929
63,9199
64,9473
65,9751
66,10033
67,10319
68,10609
69,10903
70,11201
71,11503
72,11809
73,12119
74,12433
75,12751
76,13073
77,13399
78,13729
79,14063
80,14401
81,14743
82,15089
83,15439
84,15793
85,16151
86,16513
87,16879
88,17249
89,17623
90,18001
91,18383
92,18769
93,19159
94,19553
95,19951
96,20353
97,20759
98,21169
99,21583
100,22001
